"Detaljhandel, unntatt med motorvogner",47.1
"Detaljhandel, unntatt med motorvogner",47.6
"Detaljhandel, unntatt med motorvogner",47.7
"Detaljhandel, unntatt med motorvogner",47.9
"Detaljhandel, unntatt med motorvogner",47.5
"Detaljhandel, unntatt med motorvogner",47.4
"Detaljhandel, unntatt med motorvogner",47.8
Landtransport og rørtransport,49.4
Landtransport og rørtransport,49.3
Sjøfart,50.3
Sjøfart,50.2
Sjøfart,50.4
Sjøfart,50.1
Lagring og andre tjenester tilknyttet transport,52.2
Serveringsvirksomhet,56.2
Forlagsvirksomhet,58.1
"Film-, video- og fjernsynsprogramproduksjon, utgivelse av musikk- og lydopptak",59.1
Informasjonstjenester,63.9
Informasjonstjenester,63.1
Finansieringsvirksomhet,64.1
Finansieringsvirksomhet,64.9
"Forsikringsvirksomhet og pensjonskasser, unntatt trygdeordninger underlagt offentlig forvaltning",65.1
Tjenester tilknyttet finansierings- og forsikringsvirksomhet,66.1
Tjenester tilknyttet finansierings- og forsikringsvirksomhet,66.2
"Arkitektvirksomhet og teknisk konsulentvirksomhet, og teknisk prøving og analyse",71.1
Forskning og utviklingsarbeid,72.1
Utleie- og leasingvirksomhet,77.2
Reisebyrå- og reisearrangørvirksomhet og tilknyttede tjenester,79.1
Tjenester tilknyttet eiendomsdrift,81.2
Annen forretningsmessig tjenesteyting,82.1
"Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning",84.2
"Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning",84.1
Undervisning,85.5
Undervisning,85.3
Undervisning,85.4
Helsetjenester,86.2
Kunstnerisk virksomhet og underholdningsvirksomhet,90.0
Sports- og fritidsaktiviteter og drift av fornøyelsesetablissementer,93.2
Sports- og fritidsaktiviteter og drift av fornøyelsesetablissementer,93.1
Aktiviteter i medlemsorganisasjoner,94.9
Aktiviteter i medlemsorganisasjoner,94.1
"Reparasjon av datamaskiner, husholdningsvarer og varer til personlig bruk",95.2
"Reparasjon av datamaskiner, husholdningsvarer og varer til personlig bruk",95.1
Dyrking av ettårige vekster,01.19
Dyrking av ettårige vekster,01.13
Dyrking av ettårige vekster,01.11
Dyrking av ettårige vekster,01.15
Dyrking av ettårige vekster,01.14
Dyrking av ettårige vekster,01.16
Dyrking av flerårige vekster,01.25
Dyrking av flerårige vekster,01.27
Dyrking av flerårige vekster,01.23
Dyrking av flerårige vekster,01.24
Dyrking av flerårige vekster,01.29
Dyrking av flerårige vekster,01.28
Dyrking av flerårige vekster,01.26
Dyrking av flerårige vekster,01.21
Dyrking av flerårige vekster,01.22
Planteformering,01.30
Husdyrhold,01.41
Husdyrhold,01.49
Husdyrhold,01.42
Husdyrhold,01.43
Husdyrhold,01.47
Husdyrhold,01.45
Husdyrhold,01.46
Husdyrhold,01.44
Kombinert husdyrhold og planteproduksjon,01.50
Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting,01.64
Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting,01.63
Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting,01.62
Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting,01.61
"Jakt, viltstell og tjenester tilknyttet jakt og viltstell",01.70
Skogskjøtsel og andre skogbruksaktiviteter,02.10
Avvirkning,02.20
Innsamling av viltvoksende produkter av annet enn tre,02.30
Tjenester tilknyttet skogbruk,02.40
Fiske og fangst,03.11
Fiske og fangst,03.12
Akvakultur,03.22
Akvakultur,03.21
Bryting av steinkull,05.10
Bryting av brunkull,05.20
Utvinning av råolje,06.10
Utvinning av naturgass,06.20
Bryting av jernmalm,07.10
Bryting av ikke-jernholdig malm,07.21
Bryting av ikke-jernholdig malm,07.29
"Bryting av stein, utvinning av sand og leire",08.12
"Bryting av stein, utvinning av sand og leire",08.11
Annen bryting og utvinning,08.93
Annen bryting og utvinning,08.99
Annen bryting og utvinning,08.92
Annen bryting og utvinning,08.91
Tjenester tilknyttet utvinning av råolje og naturgass,09.10
Tjenester tilknyttet annen bergverksdrift,09.90
"Produksjon, bearbeiding og konservering av kjøtt og kjøttvarer",10.12
"Produksjon, bearbeiding og konservering av kjøtt og kjøttvarer",10.13
"Produksjon, bearbeiding og konservering av kjøtt og kjøttvarer",10.11
"Bearbeiding og konservering av fisk, skalldyr og bløtdyr",10.20
Bearbeiding og konservering av frukt og grønnsaker,10.32
Bearbeiding og konservering av frukt og grønnsaker,10.39
